date,KRW
2022-12-29,1261.945
2022-12-30,1261.945
2023-01-02,1269.925
2023-01-03,1279.59
2023-01-04,1271.39
2023-01-05,1274.585
2023-01-06,1253.855
2023-01-09,1239.695
2023-01-10,1241.225
2023-01-11,1242.55
2023-01-12,1239.51
2023-01-13,1237.69
2023-01-16,1241.98
2023-01-17,1237.39
2023-01-18,1238.11
2023-01-19,1232.625
2023-01-20,1230.355
2023-01-23,1230.38
2023-01-24,1232.985
2023-01-25,1232.975
2023-01-26,1232.26
2023-01-27,1230.04
2023-01-30,1231.88
2023-01-31,1233.72
2023-02-01,1222.33
2023-02-02,1225.195
2023-02-03,1247.86
2023-02-06,1261.46
2023-02-07,1255.805
2023-02-08,1260.87
2023-02-09,1264.87
2023-02-10,1267.97
2023-02-13,1273.31
2023-02-14,1272.58
2023-02-15,1283.97
2023-02-16,1289.935
2023-02-17,1295.92
2023-02-20,1296.42
2023-02-21,1306.16
2023-02-22,1303.045
2023-02-23,1297.94
2023-02-24,1314.815
2023-02-27,1318.395
2023-02-28,1323.435
2023-03-01,1305.83
2023-03-02,1311.39
2023-03-03,1295.78
2023-03-06,1297.855
2023-03-07,1318.34
2023-03-08,1316.77
2023-03-09,1325.82
2023-03-10,1320.635
2023-03-13,1296.94
2023-03-14,1304.945
2023-03-15,1313.38
2023-03-16,1301.855
2023-03-17,1308.785
2023-03-20,1305.245
2023-03-21,1303.825
2023-03-22,1298.705
2023-03-23,1286.63
2023-03-24,1295.905
2023-03-27,1298.35
2023-03-28,1297.465
2023-03-29,1305.83
2023-03-30,1296.97
2023-03-31,1306.48
2023-04-03,1309.08
2023-04-04,1310.535
2023-04-05,1317.365
2023-04-06,1318.99
2023-04-07,1316.34
2023-04-10,1320.99
2023-04-11,1322.455
2023-04-12,1323.075
2023-04-13,1302.05
2023-04-14,1304.375
2023-04-17,1319.51
2023-04-18,1319.545
2023-04-19,1330.135
2023-04-20,1324.04
2023-04-21,1330.385
2023-04-24,1332.935
2023-04-25,1341.315
2023-04-26,1338.435
2023-04-27,1339.57
2023-04-28,1338.17
2023-05-01,1343.075
2023-05-02,1342.635
2023-05-03,1335.31
2023-05-04,1323.265
2023-05-05,1317.96
2023-05-08,1322.28
2023-05-09,1326.335
2023-05-10,1318.14
2023-05-11,1331.135
2023-05-12,1342.46
2023-05-15,1335.785
2023-05-16,1342.775
2023-05-17,1334.715
2023-05-18,1334.73
2023-05-19,1325.21
2023-05-22,1314.165
2023-05-23,1320.24
2023-05-24,1318.77
2023-05-25,1331.2
2023-05-26,1323.425
2023-05-29,1324.965
2023-05-30,1320.155
2023-05-31,1321.16
2023-06-01,1313.15
2023-06-02,1305.97
2023-06-05,1301.36
2023-06-06,1299.615
2023-06-07,1308.655
2023-06-08,1296.625
2023-06-09,1287.685
2023-06-12,1284.86
2023-06-13,1268.015
2023-06-14,1274.385
2023-06-15,1270.4
2023-06-16,1277.175
2023-06-19,1283.255
2023-06-20,1288.745
2023-06-21,1288.74
2023-06-22,1298.59
2023-06-23,1308.81
2023-06-26,1305.42
2023-06-27,1299.48
2023-06-28,1309.315
2023-06-29,1322.885
2023-06-30,1316.3
2023-07-03,1304.655
2023-07-04,1294.805
2023-07-05,1304
2023-07-06,1309.39
2023-07-07,1298.365
2023-07-10,1299.805
2023-07-11,1291.87
2023-07-12,1274.795
2023-07-13,1268.51