date,TWD
2022-12-30,30.663
2023-01-02,30.733
2023-01-03,30.733
2023-01-04,30.681
2023-01-05,30.717
2023-01-06,30.575
2023-01-07,30.577
2023-01-09,30.483
2023-01-10,30.441
2023-01-11,30.437
2023-01-12,30.345
2023-01-13,30.295
2023-01-16,30.368
2023-01-17,30.268
2023-01-18,30.356
2023-01-19,30.307
2023-01-20,30.332
2023-01-23,30.312
2023-01-24,30.288
2023-01-25,30.257
2023-01-26,30.22
2023-01-27,30.224
2023-01-30,30.101
2023-01-31,30.066
2023-02-01,29.764
2023-02-02,29.725
2023-02-03,29.981
2023-02-06,30.052
2023-02-07,30.036
2023-02-08,30.073
2023-02-09,30.12
2023-02-10,30.201
2023-02-13,30.211
2023-02-14,30.275
2023-02-15,30.361
2023-02-16,30.356
2023-02-17,30.402
2023-02-18,30.39
2023-02-20,30.389
2023-02-21,30.533
2023-02-22,30.544
2023-02-23,30.391
2023-02-24,30.681
2023-02-27,30.688
2023-02-28,30.73
2023-03-01,30.576
2023-03-02,30.665
2023-03-03,30.513
2023-03-06,30.652
2023-03-07,30.788
2023-03-08,30.749
2023-03-09,30.855
2023-03-10,30.843
2023-03-13,30.438
2023-03-14,30.508
2023-03-15,30.606
2023-03-16,30.544
2023-03-17,30.633
2023-03-20,30.515
2023-03-21,30.476
2023-03-22,30.386
2023-03-23,30.333
2023-03-24,30.338
2023-03-25,30.336
2023-03-27,30.352
2023-03-28,30.365
2023-03-29,30.502
2023-03-30,30.474
2023-03-31,30.54
2023-04-03,30.492
2023-04-04,30.465
2023-04-05,30.571
2023-04-06,30.54
2023-04-07,30.408
2023-04-10,30.503
2023-04-11,30.522
2023-04-12,30.52
2023-04-13,30.468
2023-04-14,30.519
2023-04-17,30.554
2023-04-18,30.543
2023-04-19,30.589
2023-04-20,30.615
2023-04-21,30.64
2023-04-24,30.663
2023-04-25,30.733
2023-04-26,30.724
2023-04-27,30.713
2023-04-28,30.764
2023-05-01,30.812
2023-05-02,30.771
2023-05-03,30.737
2023-05-04,30.721
2023-05-05,30.593
2023-05-07,30.588
2023-05-08,30.674
2023-05-09,30.74
2023-05-10,30.686
2023-05-11,30.77
2023-05-12,30.843
2023-05-14,30.82
2023-05-15,30.805
2023-05-16,30.851
2023-05-17,30.815
2023-05-18,30.747
2023-05-19,30.605
2023-05-21,30.63
2023-05-22,30.66
2023-05-23,30.806
2023-05-24,30.834
2023-05-25,30.834
2023-05-26,30.7
2023-05-29,30.642
2023-05-30,30.577
2023-05-31,30.708
2023-06-01,30.669
2023-06-02,30.69
2023-06-04,30.675
2023-06-05,30.704
2023-06-06,30.7
2023-06-07,30.758
2023-06-08,30.718
2023-06-09,30.675
2023-06-11,30.66
2023-06-12,30.762
2023-06-13,30.659
2023-06-14,30.749
2023-06-15,30.672
2023-06-16,30.76
2023-06-17,30.76
2023-06-19,30.814
2023-06-20,30.955
2023-06-21,30.942
2023-06-22,31.008
2023-06-23,31.004
2023-06-25,30.97
2023-06-26,31.012
2023-06-27,31.023
2023-06-28,31.031
2023-06-29,31.115
2023-06-30,31.153
2023-07-03,31.102
2023-07-04,31.085
2023-07-05,31.221
2023-07-06,31.289
2023-07-07,31.274
2023-07-10,31.356
2023-07-11,31.318
2023-07-12,31.146
2023-07-13,31.101