symbol,name,country,cap,shares-dads,currency,OLD DATA
2330.TW,Taiwan Semiconductor (TSMC),Taiwan,Blue Chip,25931999232,TWD,TSM
005930.KO,Samsung,South Korea,Blue Chip,5969780224,KRW,005930.KO
6861.TSE,Keyence,Japan,Blue Chip,242526000,JPY,6861.TSE
6758.TSE,Sony,Japan,Blue Chip,1233980032,JPY,SONY
8035.TSE,Tokyo Electron,Japan,Blue Chip,466875008,JPY,8035.TSE
000660.KO,SK Hynix,South Korea,Blue Chip,708217024,KRW,000660.KO
7974.TSE,Nintendo,Japan,Blue Chip,1164230016,JPY,7974.TSE
2317.TW,Foxconn (Hon Hai Precision Industry),Taiwan,Blue Chip,13861499904,TWD,2317.TW
2454.TW,MediaTek,Taiwan,Blue Chip,1591800064,TWD,2454.TW
6981.TSE,Murata Manufacturing (Murata Seisakusho),Japan,Blue Chip,629724032,JPY,6981.TSE
6723.TSE,Renesas Electronics,Japan,Blue Chip,1765200000,JPY,6723.TSE
2308.TW,Delta Electronics,Taiwan,Blue Chip,2597540096,TWD,2308.TW
CPNG,Coupang,South Korea,Blue Chip,1604060032,USD,CPNG
6752.TSE,Panasonic,Japan,Blue Chip,2334109952,JPY,6752.TSE
7751.TSE,Canon,Japan,Blue Chip,999128000,JPY,7751.TSE
6857.TSE,Advantest,Japan,Blue Chip,184214000,JPY,6857.TSE
4543.TSE,Terumo,Japan,Blue Chip,744608000,JPY,4543.TSE
035420.KO,Naver,South Korea,Blue Chip,150564000,KRW,035420.KO
2303.TW,United Microelectronics,Taiwan,Blue Chip,12503100416,TWD,UMC
4689.TSE,Z Holdings,Japan,Blue Chip,7530570240,JPY,4689.TSE
3711.TW,ASE Group,Taiwan,Blue Chip,4300490240,TWD,ASX
6146.TSE,Disco Corp.,Japan,Blue Chip,108302000,JPY,6146.TSE
3659.TSE,Nexon,Japan,Blue Chip,854155008,JPY,3659.TSE
035720.KO,Kakao,South Korea,Blue Chip,444983008,KRW,035720.KO
066570.KO,LG Electronics,South Korea,Blue Chip,162884992,KRW,066570.KO
7832.TSE,Bandai Namco,Japan,Blue Chip,660049984,JPY,7832.TSE
2413.TSE,M3 Inc,Japan,Blue Chip,678921984,JPY,2413.TSE
6920.TSE,Lasertec,Japan,Blue Chip,90180704,JPY,6920.TSE
6701.TSE,NEC Corp,Japan,Blue Chip,266348000,JPY,6701.TSE
4716.TSE,Oracle Corp Japan,Japan,Blue Chip,128157000,JPY,4716.TSE
2395.TW,Advantech,Taiwan,Blue Chip,778486976,TWD,2395.TW
6963.TSE,Rohm,Japan,Mid Cap,98142600,JPY,6963.TSE
7701.TSE,Shimadzu,Japan,Mid Cap,294671008,JPY,7701.TSE
3037.TW,Unimicron,Taiwan,Mid Cap,1523800064,TWD,3037.TW
3034.TW,Novatek Microelectronics,Taiwan,Mid Cap,608512000,TWD,3034.TW
2357.TW,ASUS,Taiwan,Mid Cap,742760000,TWD,2357.TW
2408.TW,Nanya Technology,Taiwan,Mid Cap,3098040064,TWD,2408.TW
4755.TSE,Rakuten,Japan,Mid Cap,2135209984,JPY,4755.TSE
259960.KO,Krafton,South Korea,Mid Cap,46212100,KRW,259960.KO
9766.TSE,Konami Holdings,Japan,Mid Cap,135559008,JPY,9766.TSE
3443.TW,Global Unichip Corp.,Taiwan,Mid Cap,134011000,TWD,3443.TW
4704.TSE,Trend Micro,Japan,Mid Cap,135760992,JPY,4704.TSE
6488.TWO,GlobalWafers,Taiwan,Mid Cap,435236992,TWD,6488.TWO
6669.TW,Wiwynn,Taiwan,Mid Cap,174840992,TWD,6669.TW
3064.TSE,Monotaro,Japan,Mid Cap,496907008,JPY,3064.TSE
2379.TW,Realtek,Taiwan,Mid Cap,512863008,TWD,2379.TW
3092.TSE,ZOZO,Japan,Mid Cap,299856992,JPY,3092.TSE
8046.TW,Nan Ya PCB,Taiwan,Mid Cap,646166016,TWD,8046.TW
3529.TWO,eMemory Technology,Taiwan,Mid Cap,74622000,TWD,3529.TWO
7747.TSE,Asahi Intecc,Japan,Mid Cap,271625984,JPY,7747.TSE
377300.KO,Kakao Pay,South Korea,Mid Cap,133905000,KRW,377300.KO
8454.TW,momo.com Inc.,Taiwan,Mid Cap,218491008,TWD,8454.TW
036570.KO,NCsoft,South Korea,Mid Cap,20307400,KRW,036570.KO
6460.TSE,Sega Sammy Holdings,Japan,Mid Cap,220744992,JPY,6460.TSE
5347.TWO,Vanguard International Semiconductor,Taiwan,Mid Cap,1638979968,TWD,5347.TWO
7731.TSE,Nikon,Japan,Mid Cap,346172992,JPY,NINOY
3661.TW,Alchip Technologies,Taiwan,Mid Cap,73889296,TWD,3661.TW
6770.TW,Powerchip Semiconductor Manufacturing,Taiwan,Mid Cap,4065649920,TWD,6770.TW
4751.TSE,CyberAgent,Japan,Mid Cap,506076992,JPY,4751.TSE
4385.TSE,Mercari,Japan,Mid Cap,161652992,JPY,4385.TSE
2353.TW,Acer,Taiwan,Mid Cap,3001110016,TWD,2353.TW
5483.TWO,Sino-American Silicon Products,Taiwan,Mid Cap,586222016,TWD,5483.TWO
6789.TW,VisEra Technologies,Taiwan,Micro Cap,315776992,TWD,6789.TW
3105.TWO,WIN Semiconductors,Taiwan,Mid Cap,423940000,TWD,3105.TWO
3532.TW,Formosa Sumco Technology,Taiwan,Mid Cap,387848000,TWD,3532.TW
214150.KO,Classys,South Korea,Small Cap,64689751,KRW,214150.KO
277810.KO,Rainbow Robotics,South Korea,Small Cap,16218270,KRW,277810.KO
2432.TSE,DeNA,Japan,Small Cap,111340000,JPY,2432.TSE
2121.TSE,Mixi,Japan,Small Cap,72973000,JPY,2121.TSE
3765.TSE,GungHo Online Entertainment,Japan,Small Cap,59896300,JPY,3765.TSE
HIMX,Himax,Taiwan,Small Cap,174400000,USD,HIMX
039030.KO,EO Technics,South Korea,Small Cap,12102153,KRW,039030.KO
8150.TW,ChipMOS Technologies,Taiwan,Small Cap,36362000,TWD,IMOS
101490.KO,S&S Tech,South Korea,Small Cap,21451447,KRW,101490.KO
3632.TSE,Gree,Japan,Small Cap,173364992,JPY,3632.TSE
137400.KO,People & Technology,South Korea,Small Cap,22741198,KRW,137400.KO
095660.KO,Neowiz Games,South Korea,Small Cap,22033719,KRW,095660.KO
063080.KO,Com2uS,South Korea,Small Cap,6595192,KRW,078340.KO
3668.TSE,COLOPL,Japan,Small Cap,128276000,JPY,3668.TSE
PERF,Perfect Corp.,Taiwan,Small Cap,101475000,USD,PERF
112040.KO,Wemade,South Korea,Small Cap,33796962,KRW,112040.KO
263750.KO,Pearl Abyss,South Korea,Small Cap,64247855,KRW,263750.KO
3629.TWO,Gravity Co.,South Korea,Small Cap,6948900,TWD,GRVY
053800.KO,AhnLab,South Korea,Small Cap,10013855,KRW,053800.KO
3694.TSE,OPTiM,Japan,Small Cap,55052500,JPY,3694.TSE
069080.KO,Webzen,South Korea,Small Cap,34950884,KRW,069080.KO
7844.TSE,Marvelous,Japan,Small Cap,60468600,JPY,7844.TSE
4165.TSE,PLAID Inc.,Japan,Micro Cap,39185500,JPY,4165.TSE
2497.TSE,UNITED,Japan,Micro Cap,38081600,JPY,2497.TSE
3903.TSE,gumi,Japan,Micro Cap,39249200,JPY,3903.TSE
4434.TSE,Serverworks,Japan,Micro Cap,7794960,JPY,4434.TSE
3793.TSE,Drecom,Japan,Micro Cap,28492200,JPY,3793.TSE
098460.KO,Koh Young Technology,South Korea,Micro Cap,68654755,KRW,098460.KO
3546.TWO,Userjoy Technology,Taiwan,Micro Cap,48177000,TWD,3546.TWO
GRRR,Gorilla Technology,Taiwan,Micro Cap,67601504,USD,GRRR
3656.TSE,KLab,Japan,Micro Cap,40450700,JPY,3656.TSE
7060.TSE,geechs,Japan,Micro Cap,10021200,JPY,7060.TSE
3667.TSE,enish,Japan,Micro Cap,17243500,JPY,3667.TSE
3912.TSE,Mobile Factory,Japan,Micro Cap,7881340,JPY,3912.TSE
3851.TSE,Nippon Ichi Software,Japan,Micro Cap,5040540,JPY,3851.TSE
4728.TSE,Tose Software,Japan,Micro Cap,7579940,JPY,4728.TSE
4174.TSE,Appirits,Japan,Micro Cap,4101360,JPY,4174.TSE
3907.TSE,Silicon Studio,Japan,Micro Cap,2948880,JPY,3907.TSE
9421.TSE,NJ Holdings,Japan,Micro Cap,5292850,JPY,9421.TSE
4199.TSE,WonderPlanet,Japan,Micro Cap,2541780,JPY,4199.TSE