symbol,name,country,cap,shares,currency,
086520.KQ,Ecopro,South Korea,Blue Chip,22090200,KRW,
247540.KQ,Ecopro BM,South Korea,Mid Cap,20361400,KRW,
035900.KQ,JYP Entertainment,South Korea,Mid Cap,33095600,KRW,
041510.KQ,SM Entertainment,South Korea,Mid Cap,23348700,KRW,
058470.KQ,LEENO Industrial,South Korea,Small Cap,15799600,KRW,
253450.KQ,Studio Dragon,South Korea,Small Cap,28051500,KRW,
035760.KQ,CJ ENM,South Korea,Small Cap,21929200,KRW,
122870.KQ,YG Entertainment,South Korea,Small Cap,18197600,KRW,
095660.KQ,Neowiz Games,South Korea,Small Cap,21164500,KRW,
067160.KQ,AfreecaTV,South Korea,Small Cap,10814400,KRW,
078340.KQ,Com2uS,South Korea,Small Cap,12437000,KRW,
054780.KQ,KEYEAST,South Korea,Small Cap,85175600,KRW,
112040.KQ,Wemade,South Korea,Small Cap,16399500,KRW,
263750.KQ,Pearl Abyss,South Korea,Small Cap,13020200,KRW,
182360.KQ,Cube Entertainment,South Korea,Small Cap,26573800,KRW,
047820.KQ,Chorokbaem Media,South Korea,Small Cap,76394800,KRW,
069080.KQ,Webzen,South Korea,Small Cap,31313100,KRW,
289220.KQ,GIANTSTEP,South Korea,Small Cap,0,KRW,
206560.KQ,Dexter Studios,South Korea,Micro Cap,24642500,KRW,
048550.KQ,SM Culture & Contents,South Korea,Micro Cap,92639696,KRW,
043610.KQ,Genie Music,South Korea,Micro Cap,58115400,KRW,
086980.KQ,Showbox,South Korea,Micro Cap,62400000,KRW,
160550.KQ,Next Entertainment World,South Korea,Micro Cap,27906100,KRW,
241840.KQ,ASTORY,South Korea,Micro Cap,0,KRW,
098460.KQ,Koh Young Technology,South Korea,Micro Cap,13119000,KRW,
200350.KQ,RaemongRaein,South Korea,Micro Cap,0,KRW,
046140.KQ,SBS Contents Hub,South Korea,Micro Cap,21463600,KRW,
361570.KQ,RBW (RAINBOW BRIDGE WORLD),South Korea,Micro Cap,0,KRW,
046390.KQ,Samhwa Networks,South Korea,Micro Cap,40337900,KRW,
104200.KQ,NHN BUGS,South Korea,Micro Cap,14152700,KRW,
068050.KQ,Pan Entertainment,South Korea,Micro Cap,13743000,KRW,
010145.KO,Samsung Heavy Industries,South Korea,Mid Cap,114845,KRW,
3471.TSE,Mitsui Fudosan Logistics Park,Japan,Mid Cap,576000,JPY,
8421.TSE,Shinkin Central Bank,Japan,Blue Chip,708222,JPY,
003495.KO,Korean Air Lines,South Korea,Mid Cap,1110790,KRW,
096775.KO,SK Innovation,South Korea,Blue Chip,1248130,KRW,
8952.TSE,Japan Real Estate Investment,Japan,Mid Cap,1385210,JPY,
006405.KO,Samsung SDI,South Korea,Blue Chip,1439500,KRW,
8951.TSE,Nippon Building Fund,Japan,Mid Cap,1700990,JPY,
3292.TSE,AEON REIT Investment,Japan,Mid Cap,2044470,JPY,
051905.KO,LG Household & Health Care,South Korea,Mid Cap,2096260,KRW,
4198.TSE,TENDA,Japan,Micro Cap,2169500,JPY,
4199.TSE,WonderPlanet,Japan,Micro Cap,2541780,JPY,
3283.TSE,Nippon Prologis REIT,Japan,Mid Cap,2838900,JPY,
009155.KO,Samsung Electro-Mechanics,South Korea,Mid Cap,2906980,KRW,
3907.TSE,Silicon Studio,Japan,Micro Cap,2948880,JPY,
007310.KO,Ottogi,South Korea,Small Cap,3736500,KRW,
4393.TSE,Bank of Innovation,Japan,Micro Cap,4002970,JPY,
4174.TSE,Appirits,Japan,Micro Cap,4101360,JPY,
3281.TSE,GLP J-REIT,Japan,Mid Cap,4712140,JPY,
3791.TSE,IG Port,Japan,Micro Cap,4714370,JPY,
3462.TSE,Nomura Real Estate Master Fund,Japan,Mid Cap,4715200,JPY,
3851.TSE,Nippon Ichi Software,Japan,Micro Cap,5040540,JPY,
9421.TSE,NJ Holdings,Japan,Micro Cap,5292850,JPY,
4175.TSE,coly,Japan,Micro Cap,5502820,JPY,
004370.KO,Nongshim,South Korea,Small Cap,5782620,KRW,
3935.TSE,Edia,Japan,Micro Cap,6127860,JPY,
3639.TSE,Voltage,Japan,Micro Cap,6422090,JPY,
3760.TSE,CAVE Interactive,Japan,Micro Cap,6466970,JPY,
GRVY,Gravity Co.,South Korea,Small Cap,6948900,USD,
002380.KO,KCC Corp,South Korea,Small Cap,7354170,KRW,
003230.KO,Samyang Foods,South Korea,Small Cap,7458130,KRW,
4728.TSE,Tose Software,Japan,Micro Cap,7579940,JPY,
4434.TSE,Serverworks,Japan,Micro Cap,7794960,JPY,
3912.TSE,Mobile Factory,Japan,Micro Cap,7881340,JPY,
4334.TSE,Yuke's,Japan,Micro Cap,8364960,JPY,
3928.TSE,Mynet,Japan,Micro Cap,8438710,JPY,
2706.TSE,Broccoli,Japan,Micro Cap,8747270,JPY,
004170.KO,Shinsegae,South Korea,Small Cap,9436410,KRW,
4644.TSE,Imagineer,Japan,Micro Cap,9598000,JPY,
9467.TSE,AlphaPolis,Japan,Micro Cap,9687130,JPY,
7060.TSE,geechs,Japan,Micro Cap,10021200,JPY,
3723.TSE,Nihon Falcom,Japan,Micro Cap,10279800,JPY,
3480.TSE,J.S.B.Co.,Japan,Small Cap,10506900,JPY,
3624.TSE,Axel Mark,Japan,Micro Cap,10646300,JPY,
1301.TSE,Kyokuyo,Japan,Small Cap,10716600,JPY,
3810.TSE,CyberStep,Japan,Micro Cap,10803500,JPY,
014680.KO,Hansol Chemical,South Korea,Small Cap,10878300,KRW,
GIGM,GigaMedia,Taiwan,Micro Cap,11052200,USD,
2138.TSE,CROOZ,Japan,Micro Cap,11122400,JPY,
192820.KO,Cosmax,South Korea,Small Cap,11345700,KRW,
3104.TSE,Fujibo Holdings,Japan,Small Cap,11467400,JPY,
6468.TWO,Netmarble Joybomb,Taiwan,Micro Cap,12074000,TWD,
5344.TSE,Maruwa,Japan,Small Cap,12338000,JPY,
3817.TSE,SRA Holdings,Japan,Small Cap,12417000,JPY,
000150.KO,Doosan,South Korea,Small Cap,13523000,KRW,
3932.TSE,Akatsuki Inc,Japan,Micro Cap,13592800,JPY,
3904.TSE,Kayak Inc,Japan,Micro Cap,15960200,JPY,
5982.TSE,Maruzen,Japan,Micro Cap,16208000,JPY,
192080.KO,DoubleUGames,South Korea,Small Cap,16525700,KRW,
3667.TSE,enish,Japan,Micro Cap,17243500,JPY,
282330.KO,BGF Retail,South Korea,Mid Cap,17275000,KRW,
3672.TSE,AltPlus,Japan,Micro Cap,17440200,JPY,
2429.TSE,World Holdings,Japan,Small Cap,17540200,JPY,
226320.KO,It's Hanbul,South Korea,Micro Cap,17616700,KRW,
024720.KO,Kolmar Korea Holdings,South Korea,Micro Cap,18385600,KRW,
3662.TSE,Ateam,Japan,Micro Cap,18533000,JPY,
7917.TSE,Fujimori Kogyo,Japan,Small Cap,18810800,JPY,
6482.TWO,Fun Yours Technology,Taiwan,Micro Cap,18863200,TWD,
7679.TSE,YAKUODO HOLDINGS,Japan,Small Cap,19595000,JPY,
010130.KO,Korea Zinc,South Korea,Mid Cap,19863200,KRW,
036570.KO,NCsoft,South Korea,Mid Cap,20307400,KRW,
4985.TSE,Earth Corporation,Japan,Small Cap,22127300,JPY,
3758.TSE,Aeria,Japan,Micro Cap,22162400,JPY,
7552.TSE,Happinet,Japan,Small Cap,22188700,JPY,
6736.TSE,Sun Corp,Japan,Small Cap,22206400,JPY,
3086.TWO,Wayi International Digital Entertainment,Taiwan,Micro Cap,22274000,TWD,
7734.TSE,Riken Keiki,Japan,Small Cap,23283400,JPY,
6169.TWO,InterServ International,Taiwan,Micro Cap,23395000,TWD,
011780.KO,Kumho Petrochemical,South Korea,Mid Cap,23627100,KRW,
214420.KO,Tonymoly,South Korea,Micro Cap,23902700,KRW,
4777.TSE,Gala Incorporated,Japan,Micro Cap,25035700,JPY,
6787.TSE,Meiko Electronics,Japan,Small Cap,25644300,JPY,
078520.KO,Able C&C,South Korea,Micro Cap,26014200,KRW,
6238.TSE,FuRyu,Japan,Micro Cap,26440000,JPY,
001040.KO,CJ Group,South Korea,Small Cap,27058500,KRW,
6626.TWO,GAME HOURS,Taiwan,Micro Cap,27177000,TWD,
5186.TSE,Nitta Corporation,Japan,Small Cap,27848800,JPY,
3793.TSE,Drecom,Japan,Micro Cap,28492200,JPY,
5805.TSE,SWCC Corporation,Japan,Small Cap,29881900,JPY,
4747.TWO,Johnson Chemical Pharmaceutical Works,Taiwan,Micro Cap,30019000,TWD,
3687.TWO,MacroWell OMG Digital Entertainment,Taiwan,Micro Cap,30060000,TWD,
8737.TSE,Akatsuki Corp.,Japan,Micro Cap,30781500,JPY,
9692.TSE,Computer Engineering & Consulting,Japan,Small Cap,33616200,JPY,
181710.KO,NHN Corp,South Korea,Small Cap,33705800,KRW,
7476.TSE,AS ONE Corporation,Japan,Small Cap,36187900,JPY,
IMOS,ChipMOS Technologies,Taiwan,Small Cap,36362000,USD,
6966.TSE,Mitsui High-tec,Japan,Mid Cap,36607200,JPY,
4549.TSE,Eiken Chemical,Japan,Small Cap,37028800,JPY,
086280.KO,Hyundai Glovis,South Korea,Mid Cap,37500000,KRW,
2497.TSE,UNITED,Japan,Micro Cap,38081600,JPY,
383220.KO,F&F Co,South Korea,Mid Cap,38142700,KRW,
2002A.TW,China Steel,Taiwan,Blue Chip,38268000,TWD,
3903.TSE,gumi,Japan,Micro Cap,39249200,JPY,
7846.TSE,Pilot Corporation,Japan,Small Cap,39449400,JPY,
271560.KO,ORION,South Korea,Mid Cap,39528800,KRW,
3349.TSE,COSMOS Pharmaceutical,Japan,Mid Cap,39598900,JPY,
3911.TSE,Aiming Inc,Japan,Micro Cap,40133500,JPY,
3656.TSE,KLab,Japan,Micro Cap,40450700,JPY,
1407.TSE,West Holdings,Japan,Small Cap,40664500,JPY,
4816.TSE,Toei Animation,Japan,Mid Cap,40887600,JPY,
352820.KO,HYBE,South Korea,Mid Cap,41649100,KRW,
6542.TWO,Gamesparcs,Taiwan,Micro Cap,42000600,TWD,
011170.KO,LOTTE Chemical,South Korea,Mid Cap,42490400,KRW,
3686.TSE,DLE,Japan,Small Cap,42514200,JPY,
1377.TSE,Sakata Seed,Japan,Small Cap,44347800,JPY,
9435.TSE,Hikari Tsushin,Japan,Mid Cap,44540600,JPY,
3664.TSE,Mobcast,Japan,Micro Cap,44638400,JPY,
4917.TSE,Mandom Corp.,Japan,Small Cap,44965400,JPY,
4819.TSE,Digital Garage,Japan,Small Cap,45813600,JPY,
259960.KO,Krafton,South Korea,Mid Cap,46212100,KRW,
079160.KO,CJ CGV,South Korea,Small Cap,47728500,KRW,
3546.TWO,Userjoy Technology,Taiwan,Micro Cap,48177000,TWD,
3391.TSE,Tsuruha Holdings,Japan,Mid Cap,48601800,JPY,
9793.TSE,Daiseki,Japan,Small Cap,49118200,JPY,
019170.KO,Shinpoong Pharm,South Korea,Small Cap,49271000,KRW,
012450.KO,Hanwha Aerospace,South Korea,Mid Cap,50569400,KRW,
272450.KO,Jin Air,South Korea,Small Cap,51533600,KRW,
3694.TSE,OPTiM,Japan,Small Cap,55052500,JPY,
034730.KO,SK Group,South Korea,Mid Cap,55201900,KRW,
6457.TSE,Glory Ltd.,Japan,Small Cap,55591300,JPY,
4922.TSE,Kosé,Japan,Mid Cap,57050500,JPY,
4569.TSE,KYORIN Pharmaceutical,Japan,Small Cap,57303900,JPY,
4980.TSE,Dexerials Corporation,Japan,Small Cap,57986000,JPY,
090430.KO,Amorepacific,South Korea,Mid Cap,58460800,KRW,
3765.TSE,GungHo Online Entertainment,Japan,Small Cap,59896300,JPY,
081660.KO,Fila,South Korea,Small Cap,60095800,KRW,
7844.TSE,Marvelous,Japan,Small Cap,60468600,JPY,
4206.TSE,Aica Kogyo Company,Japan,Small Cap,63963400,JPY,
6273.TSE,SMC corp,Japan,Blue Chip,64500600,JPY,
336260.KO,Doosan Fuel Cell,South Korea,Small Cap,65482700,KRW,
2753.TW,Bafang Yunji,Taiwan,Small Cap,66345000,TWD,
4516.TSE,Nippon Shinyaku,Japan,Mid Cap,67353504,JPY,
GRRR,Gorilla Technology,Taiwan,Micro Cap,67601504,USD,
7803.TSE,Bushiroad,Japan,Small Cap,67892096,JPY,
008930.KO,Hanmi Pharmaceutical,South Korea,Small Cap,67996096,KRW,
1878.TSE,Daito Trust Construction,Japan,Mid Cap,68190200,JPY,
000080.KO,HiteJinro,South Korea,Small Cap,68649400,KRW,
000100.KO,Yuhan,South Korea,Mid Cap,70259800,KRW,
051910.KO,LG Chem,South Korea,Blue Chip,70592304,KRW,
004990.KO,LOTTE Corporation,South Korea,Small Cap,70805296,KRW,
207940.KO,Samsung Biologics,South Korea,Blue Chip,71174000,KRW,
021240.KO,Coway,South Korea,Mid Cap,72555600,KRW,
2121.TSE,Mixi,Japan,Small Cap,72973000,JPY,
3661.TW,Alchip Technologies,Taiwan,Mid Cap,73889296,TWD,
020560.KO,Asiana Airlines,South Korea,Small Cap,74411800,KRW,
3529.TWO,eMemory Technology,Taiwan,Mid Cap,74622000,TWD,
3769.TSE,GMO Payment Gateway,Japan,Mid Cap,75842600,JPY,
4967.TSE,KOBAYASHI Pharmaceutical,Japan,Mid Cap,76128000,JPY,
089590.KO,Jeju Air,South Korea,Small Cap,76923800,KRW,
003670.KO,POSCO Chemical,South Korea,Blue Chip,77419504,KRW,
2501.TSE,Sapporo,Japan,Mid Cap,78026200,JPY,
4137.TW,Chlitina Holding,Taiwan,Small Cap,78989000,TWD,
6111.TWO,Softstar Entertainment,Taiwan,Micro Cap,79427000,TWD,
4403.TSE,NOF Corporation,Japan,Mid Cap,80378304,JPY,
7564.TSE,Workman,Japan,Mid Cap,81610304,JPY,
251270.KO,Netmarble,South Korea,Mid Cap,81934600,KRW,
4581.TSE,Taisho Pharmaceutical,Japan,Mid Cap,81985696,JPY,
7518.TSE,Net One Systems,Japan,Small Cap,82194400,JPY,
2670.TSE,ABC-Mart,Japan,Mid Cap,82539104,JPY,
7716.TSE,Nakanishi,Japan,Small Cap,85154304,JPY,
036460.KO,Korea Gas,South Korea,Small Cap,85827000,KRW,
3083.TWO,Chinese Gamer International,Taiwan,Micro Cap,86433000,TWD,
9147.TSE,Nippon Express,Japan,Mid Cap,88579904,JPY,
4684.TSE,OBIC,Japan,Blue Chip,88680096,JPY,
6920.TSE,Lasertec,Japan,Blue Chip,90180704,JPY,
7309.TSE,Shimano,Japan,Blue Chip,90403696,JPY,
012330.KO,Hyundai Mobis,South Korea,Blue Chip,91110200,KRW,
6361.TSE,Ebara Corporation,Japan,Mid Cap,92315504,JPY,
9706.TSE,Japan Airport Terminal,Japan,Mid Cap,93136400,JPY,
6324.TSE,Harmonic Drive Systems,Japan,Mid Cap,95064400,JPY,
1417.TSE,MIRAIT ONE Corporation,Japan,Small Cap,95628000,JPY,
047810.KO,Korea Aerospace Industries,South Korea,Mid Cap,97475104,KRW,
6963.TSE,Rohm,Japan,Mid Cap,98142600,JPY,
2651.TSE,Lawson,Japan,Mid Cap,100078000,JPY,
241560.KO,Doosan Bobcat,South Korea,Mid Cap,100153000,KRW,
7988.TSE,Nifco Inc.,Japan,Mid Cap,100190000,JPY,
2897.TSE,Nissin Foods,Japan,Mid Cap,101346000,JPY,
PERF,Perfect Corp.,Taiwan,Small Cap,101475000,USD,
2875.TSE,Toyo Suisan,Japan,Mid Cap,102128000,JPY,
137310.KO,SD BioSensor,South Korea,Small Cap,102322000,KRW,
4401.TSE,Adeka Corporation,Japan,Small Cap,102504000,JPY,
9533.TSE,Toho Gas,Japan,Small Cap,105120000,JPY,
6028.TSE,TechnoPro Holdings,Japan,Mid Cap,107726000,JPY,
6146.TSE,Disco Corp.,Japan,Blue Chip,108302000,JPY,
4994.TW,X-Legend Entertainment,Taiwan,Micro Cap,110639000,TWD,
2432.TSE,DeNA,Japan,Small Cap,111340000,JPY,
010950.KO,S-OIL,South Korea,Mid Cap,112583000,KRW,
9843.TSE,Nitori Holdings,Japan,Blue Chip,113012000,JPY,
7984.TSE,Kokuyo,Japan,Small Cap,115528000,JPY,
033780.KO,KT&G (Korea Tobacco),South Korea,Mid Cap,116280000,KRW,
298690.KO,Air Busan,South Korea,Small Cap,116582000,KRW,
4045.TSE,Toagosei,Japan,Small Cap,118969000,JPY,
7956.TSE,Pigeon,Japan,Small Cap,119657000,JPY,
9684.TSE,Square Enix,Japan,Mid Cap,119729000,JPY,
4921.TSE,Fancl Corp.,Japan,Mid Cap,120923000,JPY,
5478.TWO,Soft-World International,Taiwan,Small Cap,121338000,TWD,
161390.KO,Hankook Tire,South Korea,Mid Cap,121989000,KRW,
8439.TSE,Tokyo Century,Japan,Mid Cap,122401000,JPY,
6976.TSE,Taiyo Yuden,Japan,Mid Cap,124608000,JPY,
7313.TSE,TS TECH,Japan,Small Cap,127505000,JPY,
4716.TSE,Oracle Corp Japan,Japan,Blue Chip,128157000,JPY,
3668.TSE,COLOPL,Japan,Small Cap,128276000,JPY,
4587.TSE,PeptiDream,Japan,Mid Cap,129831000,JPY,
2702.TSE,McDonald's Japan,Japan,Mid Cap,132959000,JPY,
3008.TW,Largan Precision,Taiwan,Mid Cap,133468000,TWD,
377300.KO,Kakao Pay,South Korea,Mid Cap,133905000,KRW,
3443.TW,Global Unichip Corp.,Taiwan,Mid Cap,134011000,TWD,
9766.TSE,Konami Holdings,Japan,Mid Cap,135559008,JPY,
4704.TSE,Trend Micro,Japan,Mid Cap,135760992,JPY,
3088.TSE,MatsukiyoCocokara,Japan,Mid Cap,139400992,JPY,
4062.TSE,Ibiden,Japan,Mid Cap,139608000,JPY,
4021.TSE,Nissan Chemical,Japan,Mid Cap,139979008,JPY,
9468.TSE,Kadokawa,Japan,Mid Cap,140604000,JPY,
3293.TWO,International Games System,Taiwan,Mid Cap,140900992,TWD,
068270.KO,Celltrion,South Korea,Blue Chip,141922000,KRW,
6988.TSE,Nitto Denko,Japan,Blue Chip,142928992,JPY,
CHBAY,Chiba Bank,Japan,Mid Cap,144916000,USD,
5947.TSE,Rinnai Corporation,Japan,Mid Cap,145275008,JPY,
035420.KO,Naver,South Korea,Blue Chip,150564000,KRW,
7013.TSE,IHI Corporation,Japan,Mid Cap,151288000,JPY,
5105.TSE,Toyo Tire,Japan,Mid Cap,153939008,JPY,
003550.KO,LG Corp,South Korea,Blue Chip,154586000,KRW,
6965.TSE,Hamamatsu,Japan,Mid Cap,154852000,JPY,
2267.TSE,Yakult,Japan,Blue Chip,156070000,JPY,
4385.TSE,Mercari,Japan,Mid Cap,161652992,JPY,
066570.KO,LG Electronics,South Korea,Blue Chip,162884992,KRW,
7951.TSE,Yamaha,Japan,Mid Cap,168788992,JPY,
009830.KO,Hanwha Solutions,South Korea,Mid Cap,169508992,KRW,
5332.TSE,TOTO,Japan,Mid Cap,169592000,JPY,
3632.TSE,Gree,Japan,Small Cap,173364992,JPY,
HIMX,Himax,Taiwan,Small Cap,174400000,USD,
6669.TW,Wiwynn,Taiwan,Mid Cap,174840992,TWD,
9602.TSE,Toho Co.,Japan,Mid Cap,174916992,JPY,
6180.TWO,Gamania Digital,Taiwan,Small Cap,175494000,TWD,
032830.KO,Samsung Life Insurance,South Korea,Mid Cap,179575008,KRW,
7936.TSE,ASICS Corporation,Japan,Mid Cap,183160000,JPY,
6857.TSE,Advantest,Japan,Blue Chip,184214000,JPY,
8354.TSE,Fukuoka Financial Group,Japan,Mid Cap,187707008,JPY,
6702.TSE,Fujitsu,Japan,Blue Chip,188339008,JPY,
4768.TSE,Otsuka,Japan,Mid Cap,189600992,JPY,
9041.TSE,Kintetsu GHD,Japan,Mid Cap,190180000,JPY,
2801.TSE,Kikkoman,Japan,Blue Chip,191279008,JPY,
9048.TSE,Meitetsu,Japan,Mid Cap,196528992,JPY,
9022.TSE,Central Japan Railway,Japan,Blue Chip,196799008,JPY,
